fips,state,county,total_population,nonwhite_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,college_pct
01001,Alabama,Autauga,59947,29.377616894923854,51.41374881145011,37.52314544514321,16.27938011910521,72481,2.395097709524343,29.1384808658678
01003,Alabama,Baldwin,246989,19.257132908753015,51.26908485803011,33.37759981213738,21.670195838681074,78775,3.0273362675906457,33.689508410836126
01005,Alabama,Barbour,24643,56.28373168851195,47.538854847218275,35.304143164387455,20.10712981374021,46042,7.789541918755402,10.62730627306273
01007,Alabama,Bibb,22130,26.615454134658833,46.909173068233166,34.87121554450972,17.3791233619521,52541,12.080759046778464,11.725649859066708
01009,Alabama,Blount,59518,15.460868980812526,49.7563762223193,36.75694747807386,18.594374810981552,64190,4.998539506353147,15.818234808374218
01011,Alabama,Bullock,10058,78.98190495128257,45.555776496321336,35.67309604295089,18.562338437065023,31310,7.218621096051856,8.116659788141423
01013,Alabama,Butler,18630,49.50617283950617,53.585614600107355,35.06172839506173,22.012882447665056,44755,6.472032037204496,13.538884224986644
01015,Alabama,Calhoun,116090,30.658971487638897,51.61168059264364,38.56318373675597,18.223791885605994,55029,5.974573855538453,20.64954259358357
01017,Alabama,Chambers,34192,46.12482452035563,52.63511932615817,35.50830603649977,20.294220870379036,49656,5.1395687260219605,14.907983037589032
01019,Alabama,Cherokee,25443,9.613646189521674,50.40679165192784,30.605667570648116,24.446802656919388,53863,3.88162951575711,16.499290183500708
01021,Alabama,Chilton,45992,23.62584797356062,51.19586014959123,38.60019133762393,16.96381979474691,65603,5.46727843516059,16.468885672937773
01023,Alabama,Choctaw,12380,43.40064620355412,52.16478190630048,32.17285945072698,24.361873990306947,47813,5.034793286942284,15.761412862379206
01025,Alabama,Clarke,22543,48.87991837821053,52.42869183338509,35.48329858492659,21.061970456460987,49249,9.187202766969303,14.9741063534167
01027,Alabama,Clay,14192,21.117531003382183,51.6065388951522,32.74379932356257,20.560879368658398,55250,2.4034017378443333,14.714215925744991
01029,Alabama,Cleburne,15426,7.785556852067932,49.747180085569816,34.56502009594192,20.115389601970698,55345,2.5711960943856793,16.992276238073604
01031,Alabama,Coffee,54920,32.50728332119447,50.30043699927167,38.07538237436271,17.199563000728332,68353,5.088639417450479,22.484318876320163
01033,Alabama,Colbert,58022,22.925786770535318,51.57526455482403,34.57136948054186,20.42845817103857,60628,3.136120996441281,21.655293003375668
01035,Alabama,Conecuh,11275,50.048780487804876,53.32150776053215,32.65631929046563,24.913525498891353,41327,8.695652173913043,13.418411597075952
01037,Alabama,Coosa,10300,34.0873786407767,49.29126213592233,29.223300970873787,25.310679611650485,57355,6.203234371228579,13.859356987319071
01039,Alabama,Covington,37628,17.673009461039648,51.76198575528861,34.86765174869778,22.204209631125757,52456,5.170440091579751,17.169347209082307
01041,Alabama,Crenshaw,13122,30.18594726413657,51.41746684956561,36.05395518975766,20.187471422039323,48560,5.416359616801769,18.712295711308542
01043,Alabama,Cullman,90566,10.522712717796967,50.10489587703995,36.30611929421637,19.029216262173442,62656,3.7728233254980172,19.690716759167024
01045,Alabama,Dale,49599,33.91399020141536,50.72884533962378,38.88788080404847,18.083025867457007,54963,6.596044460679434,20.397728961683658
01047,Alabama,Dallas,36858,73.40875793586196,53.53790221932823,37.169678224537414,20.389060719518152,35627,10.954688318491357,17.484906259930092
01049,Alabama,DeKalb,72269,23.037540300820545,49.9660988805712,38.61545060814457,17.639651856259253,51204,4.13583760197306,14.08141491238869
01051,Alabama,Elmore,89526,28.21861805509014,51.273373098317805,36.58825369166499,16.534861381051314,78243,4.6456251750863755,25.391398811425653
01053,Alabama,Escambia,36629,40.02566272625515,50.940511616478744,36.34005842365339,18.987687351552047,48225,10.052719000505524,13.527323789835005
01055,Alabama,Etowah,103105,23.83104602104651,51.43300518888512,35.83337374521119,19.727462295717956,54563,5.90336775149218,18.086119120873057
01057,Alabama,Fayette,16053,16.763221827695762,50.85030835357877,34.95296829253099,21.858842583940696,49488,8.43585237258348,14.85235786690172
01059,Alabama,Franklin,31966,27.46355502721641,51.21066132766064,39.27923418632297,16.66770944128136,53338,3.632252137658116,15.836039343027908
01061,Alabama,Geneva,26887,19.5038494439692,50.73827500278945,34.44043589838956,20.277457507345556,52771,5.626381098079212,13.244859420898027
01063,Alabama,Greene,7424,82.17941810344827,52.249461206896555,35.15625,25.107758620689655,29200,4.036620890553475,15.127357573400738
01065,Alabama,Hale,14829,61.93269944028592,52.039921774900535,38.4651696001079,19.99460516555398,39250,5.998225377107365,17.586952249950873
01067,Alabama,Henry,17647,29.82376607922026,51.96917323057743,32.050773502578345,23.811412704709017,59931,3.6136993200705114,21.818888457054022
01069,Alabama,Houston,108140,36.609025337525424,51.94377658590716,36.82726095801738,18.685037913815425,58626,4.503522477240154,23.047479327820753
01071,Alabama,Jackson,53053,11.839104291934477,50.700243153073345,34.11494166211148,20.888545416847304,51908,4.466211358734723,15.922258506267776
01073,Alabama,Jefferson,667755,52.46624884875442,52.53947930004268,39.0444100006739,16.782802075611563,66388,4.725463175623947,36.22242774872693
01075,Alabama,Lamar,13693,14.36500401665084,51.20864675381582,34.711166289344924,22.41291170671146,50000,5.4652616538667615,12.054766316656371
01077,Alabama,Lauderdale,95830,17.86496921632057,51.94615464885735,37.87957842011896,20.499843472816444,62649,4.055443677963923,29.81519882898268
01079,Alabama,Lawrence,33276,24.504147133068876,50.59201827142685,35.530111792282725,19.04075009015507,66071,1.9583442494105319,15.214980378774953
01081,Alabama,Lee,181134,34.6848189737984,50.57305641127563,44.78010754469067,13.2614528470635,65824,3.5454092945382145,42.37504544205141
01083,Alabama,Limestone,111233,27.71479686783599,49.89796193575648,35.905711434556295,15.565524619492416,83629,3.2899131596526385,30.1948051948052
01085,Alabama,Lowndes,9833,75.32797721956676,52.374656768026036,35.93003152649242,20.57357876538188,37052,6.83667932718394,14.368566043207192
01087,Alabama,Macon,18691,83.21652132042159,54.20255738055749,43.75367824086459,21.22411855973463,43707,8.290092916616388,21.12442073970447
01089,Alabama,Madison,405718,38.36334596936789,50.74337347615832,38.39415554646331,15.713870225131743,86499,3.6057362912561723,46.42348645963713
01091,Alabama,Marengo,18851,55.71057238342794,52.62320301310275,35.60553816773646,20.608986260675827,43825,4.090322580645161,19.453501009160068
01093,Alabama,Marion,29184,10.317297149122806,50.50370065789474,34.707373903508774,21.419270833333332,50088,5.020013342228152,13.262370540851553
01095,Alabama,Marshall,99748,23.550346874122784,50.4200585475398,39.988771704695836,17.09307454786061,62571,3.9124668435013263,21.544349735441667
01097,Alabama,Mobile,412590,45.18674713395865,52.17746431081704,38.772873797232116,17.34482173586369,58880,5.263489595916095,25.97046533848633
01099,Alabama,Monroe,19388,46.41015060862389,52.09407881163607,35.42397359191252,21.631937280792243,42292,10.365168539325843,11.671501896898013
01101,Alabama,Montgomery,226718,70.2996674282589,52.985206291516334,40.3563016610944,16.18309970977161,59386,5.877277178286457,34.46268676574287
01103,Alabama,Morgan,124471,27.85628781001197,50.30649709570904,37.372560676784154,17.973664548368696,68845,3.667186213901683,23.27382207539655
01105,Alabama,Perry,8031,72.15788818328976,55.16125015564687,39.185655584609634,21.616237081309922,37654,16.4624808575804,15.765509391007399
01107,Alabama,Pickens,18721,47.182308637359114,49.54329362747716,33.73217242668661,19.88675818599434,46274,4.7195139183269745,13.080793134063331
01109,Alabama,Pike,32987,45.405765907781856,52.535847455058054,47.973444084033105,15.581895898384213,48677,3.6571056062581486,28.018376090435144
01111,Alabama,Randolph,22510,25.406486006219453,50.83074189249223,35.67747667703243,21.861394935584183,52338,3.77156327011679,18.357701033526595
01113,Alabama,Russell,58811,56.06774242913741,52.4357688187584,39.298770638145925,15.267551988573565,51197,6.239683063717399,18.19799498746867
01115,Alabama,St. Clair,94166,16.917995879616843,50.5097381220398,35.25263895673598,17.87481681286239,77463,4.556119142850759,21.377833411253715
01117,Alabama,Shelby,230211,26.791508659447206,51.28425661675593,36.995191367919,16.839334349792146,97961,2.8707466239789845,46.84480714411846
01119,Alabama,Sumter,11878,74.3138575517764,55.66593702643543,46.5734972217545,19.818151203906382,33310,12.112994350282486,19.010155914747532
01121,Alabama,Talladega,81021,38.166648152948,51.44098443613384,34.60707717752188,19.377692203255947,57776,6.827600197061466,16.531128036724375
01123,Alabama,Tallapoosa,40938,32.180370316087746,51.22868728320876,33.05974888856319,23.288875861058184,59356,4.940525587828493,20.326946268256734
01125,Alabama,Tuscaloosa,237552,41.12446958981613,51.75919377652051,46.01645113490941,13.940947666195191,66231,5.827006845052893,32.09722482200176
01127,Alabama,Walker,64841,13.767523634737277,51.1127218889283,37.06296941749819,19.652688885118984,56509,4.880978379558855,16.559812353401092
01129,Alabama,Washington,15143,34.999669814435705,49.78537938321337,35.34306280129433,21.026216733804397,61042,4.864511916421809,16.961859244681847
01131,Alabama,Wilcox,10172,72.46362563900904,51.44514353126229,37.00353912701534,21.696814785686197,40640,11.757332664828278,12.94777729823047
01133,Alabama,Winston,23682,9.598006925090786,49.9577738366692,33.46845705599189,21.99983109534668,57256,3.581159984429739,14.27399026906618
02013,Alaska,Aleutians East,3491,83.09939845316528,39.1291893440275,31.910627327413348,13.06215983958751,65365,8.35453774385072,18.272937548188125
02016,Alaska,Aleutians West,5235,75.81661891117479,28.97803247373448,29.512893982808023,5.959885386819484,135500,4.309283427727161,17.900499880980718
02020,Alaska,Anchorage,288976,45.80068933060185,48.90959802890205,41.24667792481036,12.867158518354465,103284,4.582297414751481,38.65366268458603
02050,Alaska,Bethel,18394,91.68750679569425,46.75981298249429,53.06621724475372,8.361422202892248,73996,15.9403522303638,12.789894404421197
02060,Alaska,Bristol Bay,918,51.4161220043573,36.05664488017429,34.85838779956427,18.51851851851852,95625,4.364326375711575,20.92391304347826
